URL Structures,,,,,,,
,,,,,,,
Page Name,Level,Page Type,Unit,New or Existing?,Current URL Structure,Recommended URL Structure,Redirect Type
Cell Therapy Bioprocessing Solutions,L4,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/cell-therapy.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/cell-therapy.html,301
Gene Therapy Bioprocessing Solutions,L4,Application,Group,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/gene-therapy.html,https://www.thermofisher.com/us/en/home/bioprocessing/applications/gene-therapy.html,301
Cell Culture Products,L4,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture.html,301
Cell Therapy Products and Systems,L4,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cell-therapy.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-therapy.html,301
Cell Culture Media,L5,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/media-formats.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media.html,301
Advanced Granulation Technology (AGT),L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/media-formats/agt.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media/advanced-granulation-technology.html,301
Diploid Growth and Production Media for Vaccine Production,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/virus-expression/vaccine-production-diploid-growth-media.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media/diploid-media.html,301
Virus Production Media & Reagents,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/virus-expression/virus-production-media-reagents.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media/virus-media-reagents.html,301
Gibco CHO Media,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cho-media.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media/cho-media.html,301
Gibco Dynamis Medium,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cho-media/gibco-dynamis-medium.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media/gibco-dynamis-medium.html,301
Gibco Efficient-Pro Medium and Feeds System,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cho-media/gibco-efficient-pro.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media/gibco-efficient-pro.html,301
Gibco High-Intensity Perfusion CHO Medium,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cho-media/gibco-perfusion-medium.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/media/gibco-cho-high-intensity.html,301
FunctionMAX™ TiterEnhancer,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/functional-additives/functionmax-titerenhancer.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/feeds-supplements/functionmax-titer-enhancer.html,301
Gibco Feeds and Supplements for BioProcessing,L5,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/feeds-supplements.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/feeds-supplements.html,301
Gibco Functional Additives and Reagents,L5,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/functional-additives.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/functional-additives-reagents.html,301
Stable Cell Line Development Kits,L5,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cell-line-development.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/cell-line-development.html,301
Gibco EfficientFeed+ Supplements,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/feeds-supplements/gibco-efficientfeed-supplements.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/feeds-supplements/gibco-efficientfeed.html,301
Gibco GlycanTune Total Feeds,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/feeds-supplements/gibco-glycantune-total-feeds.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/feeds-supplements/gibco-glycantune.html,301
FoamAway™ Irradiated AOF,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/functional-additives/foamaway-irradiated-aof.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/functional-additives-reagents/foamaway-irradiated-aof.html,301
Recombinant Human Insulin,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/functional-additives/recombinant-human-insulin-reagent.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/functional-additives-reagents/recombinant-human-insulin.html,301
Gibco CHOvantage Cell Line Development Kit,L6,Product,CCCT,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/cell-line-development/gibco-chovantage-kit.html,
Gibco Freedom Cell Line Development Kits,L6,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cell-line-development/gibco-freedom.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-culture/cell-line-development/gibco-freedom-kit.html,301
Cell Therapy Bags,L5,Product,CCCT,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-therapy/bags.html,
Dynabeads,L5,Product,CCCT,New,,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-therapy/dynabeads.html,
Gibco Cell Therapy Bioprocessing Media,L5,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cell-therapy/media.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-therapy/media.html,301
Gibco Cell Therapy Bioprocessing Reagents,L5,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/cell-therapy/reagents.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-therapy/reagents.html,301
Gibco CTS DynaCellect Magnetic Separation System,L5,Product,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/magnetic-separation-system.html,https://www.thermofisher.com/us/en/home/bioprocessing/products/cell-therapy/gibco-cts-dynacellect.html,301
Gibco Media by Design Services,L4,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/gibco-bioproduction-services.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/gibco-design.html,301
Media Development,L5,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/gibco-bioproduction-services/media-development.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/gibco-design/media-development.html,301
Cell Culture Media Optimization,L5,Services,CCCT,New,,https://www.thermofisher.com/us/en/home/bioprocessing/services/gibco-design/media-optimization.html,
Gibco Bioprocessing Analytical Services,L6,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/gibco-bioproduction-services/analytical-services.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/gibco-design/media-optimization/analytics.html,301
Media and Feed Screenings,L5,Services,CCCT,Existing,https://www.thermofisher.com/us/en/home/life-science/bioproduction/gibco-bioprocessing/gibco-bioproduction-services/media-test-panel-consultation.html,https://www.thermofisher.com/us/en/home/bioprocessing/services/gibco-design/media-feed-screenings.html,301
High-Throughput Screening,L6,Services,CCCT,New,,https://www.thermofisher.com/us/en/home/bioprocessing/services/gibco-design/media-feed-screenings/high-throughput-screening.html,
